Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner
2004,Arizona,W,44.3,54.8,R+,-8.06,Bush
2004,Arkansas,S,44.5,54.3,R+,-7.38,Bush
2004,California,W,54.3,44.4,D+,12.57,Bush
2004,Colorado,W,47.0,51.7,R+,-2.24,Bush
2004,Connecticut,N,54.3,43.9,D+,13.04,Bush
2004,Delaware,N,53.3,45.7,D+,10.15,Bush
2004,Florida,S,47.1,52.1,R+,-2.56,Bush
2004,Georgia,S,41.3,57.9,R+,-14.22,Bush
2004,Hawaii,W,54.0,45.3,D+,11.30,Bush
2004,Idaho,W,30.3,68.4,R+,-36.16,Bush
2004,Illinois,M,54.8,44.5,D+,12.91,Bush
2004,Indiana,M,39.3,59.9,R+,-18.36,Bush
2004,Iowa,M,49.2,49.9,D+,1.81,Bush
2004,Kansas,M,36.6,62.0,R+,-23.25,Bush
2004,Kentucky,S,39.7,59.5,R+,-17.53,Bush
2004,Louisiana,S,42.2,56.7,R+,-12.17,Bush
2004,Maine,N,53.6,44.6,D+,11.65,Bush
2004,Maryland,N,55.9,42.9,D+,15.62,Bush
2004,Massachusetts,N,61.9,36.8,D+,27.97,Bush
2004,Michigan,M,51.2,47.8,D+,5.94,Bush
2004,Midwest,M,48.4,50.8,D+,0.06,Bush
2004,Minnesota,M,51.1,47.6,D+,6.01,Bush
2004,Mississippi,S,39.8,59.4,R+,-17.36,Bush
2004,Missouri,M,46.1,53.3,R+,-4.75,Bush
2004,Montana,W,38.6,59.1,R+,-18.51,Bush
2004,Nebraska,M,32.7,65.9,R+,-31.21,Bush
2004,Nevada,W,47.9,50.5,R+,-0.15,Bush
2004,New Hampshire,N,50.2,48.9,D+,3.87,Bush
2004,New Jersey,N,52.9,46.2,D+,9.23,Bush
2004,New Mexico,W,49.0,49.8,D+,1.69,Bush
2004,New York,N,58.4,40.1,D+,21.06,Bush
2004,North Carolina,S,43.6,56.0,R+,-10.00,Bush
2004,North Dakota,M,35.5,62.9,R+,-25.33,Bush
2004,Northeast,N,55.8,43.0,D+,15.45,Bush
2004,Ohio,M,48.7,50.8,D+,0.37,Bush
2004,Oklahoma,S,34.4,65.6,R+,-28.65,Bush
2004,Oregon,W,51.3,47.2,D+,6.71,Bush
2004,Pennsylvania,N,50.9,48.4,D+,5.00,Bush
2004,Region,,,,,,Bush
2004,Rhode Island,N,59.4,38.7,D+,23.64,Bush
2004,South,S,42.0,57.2,R+,-12.83,Bush
2004,South Carolina,S,40.9,58.0,R+,-14.78,Bush
2004,South Dakota,M,38.4,59.9,R+,-19.34,Bush
